id,name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source,fulltext,teamwork,critical,grit,style,performance,racial,companion_familiar,race_name,note,goal,completion_benefit,multiples,suggested_traits,prerequisite_skills,panache,betrayal,targeting,esoteric,stare,weapon_mastery,item_mastery,armor_mastery,shield_mastery
1,Acrobatic,General,"You are skilled at leaping, jumping, and flying.",,,"You get a +2 bonus on all Acrobatics and Fly skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Acrobatic</p><div style=""clear: both;""></div></div><div><h5>You are skilled at leaping, jumping, and flying.<h5><b>Benefit: </b>You get a +2 bonus on all Acrobatics and Fly skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
2,Acrobatic Steps,General,You can easily move over and through obstacles.,"Dex 15, Nimble Moves.",Nimble Moves,"Whenever you move, you may move through up to 15 feet of difficult terrain each round as if it were normal terrain. The effects of this feat stack with those provided by Nimble Moves (allowing you to move normally through a total of 20 feet of difficult terrain each round).",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Acrobatic Steps</p><div style=""clear: both;""></div></div><div><h5>You can easily move over and through obstacles.<h5><b>Prerequisites: </b>Dex 15, Nimble Moves.</h5><h5><b>Benefit: </b>Whenever you move, you may move through up to 15 feet of difficult terrain each round as if it were normal terrain. The effects of this feat stack with those provided by Nimble Moves (allowing you to move normally through a total of 20 feet of difficult terrain each round).</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
3,Agile Maneuvers,Combat,You've learned to use your quickness in place of brute force when performing combat maneuvers.,,,You add your Dexterity bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus (see Chapter 8) instead of your Strength bonus.,You add your Strength bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus.,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Agile Maneuvers (Combat)</p><div style=""clear: both;""></div></div><div><h5>You've learned to use your quickness in place of brute force when performing combat maneuvers.<h5><b>Benefit: </b>You add your Dexterity bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus (see Chapter 8) instead of your Strength bonus.</h5><h5><b>Normal: </b>You add your Strength bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
4,Alertness,General,You often notice things that others might miss.,,,"You get a +2 bonus on Perception and Sense Motive skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Alertness</p><div style=""clear: both;""></div></div><div><h5>You often notice things that others might miss.<h5><b>Benefit: </b>You get a +2 bonus on Perception and Sense Motive skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
5,Alignment Channel,General,"Choose chaos, evil, good, or law. You can channel divine energy to affect outsiders that possess this subtype.",Ability to channel energy.,,"Instead of its normal effect, you can choose to have your ability to channel energy heal or harm outsiders of the chosen alignment subtype. You must make this choice each time you channel energy. If you choose to heal or harm creatures of the chosen alignment subtype, your channel energy has no effect on other creatures. The amount of damage healed or dealt and the DC to halve the damage is otherwise unchanged.",,"You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new alignment subtype. Whenever you channel energy, you must choose which type to effect.",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Alignment Channel</p><div style=""clear: both;""></div></div><div><h5>Choose chaos, evil, good, or law. You can channel divine energy to affect outsiders that possess this subtype.<h5><b>Prerequisites: </b>Ability to channel energy.</h5><h5><b>Benefit: </b>Instead of its normal effect, you can choose to have your ability to channel energy heal or harm outsiders of the chosen alignment subtype. You must make this choice each time you channel energy. If you choose to heal or harm creatures of the chosen alignment subtype, your channel energy has no effect on other creatures. The amount of damage healed or dealt and the DC to halve the damage is otherwise unchanged.</h5><h5><b>Special: </b>You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new alignment subtype. Whenever you channel energy, you must choose which type to effect.</h5></div>",0,0,0,0,0,0,0,,,,,1,,,0,0,0,0,0,0,0,0,0
6,Animal Affinity,General,You are skilled at working with animals and mounts.,,,"You get a +2 bonus on all Handle Animal and Ride skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Animal Affinity</p><div style=""clear: both;""></div></div><div><h5>You are skilled at working with animals and mounts.<h5><b>Benefit: </b>You get a +2 bonus on all Handle Animal and Ride skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
7,Arcane Armor Mastery,Combat,You have mastered the ability to cast spells while wearing armor.,"Arcane Armor Training, Medium Armor Proficiency, caster level 7th.","Arcane Armor Training, Medium Armor Proficiency","As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 20% for any spells you cast this round. This bonus replaces, and does not stack with, the bonus granted by Arcane Armor Training.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Arcane Armor Mastery (Combat)</p><div style=""clear: both;""></div></div><div><h5>You have mastered the ability to cast spells while wearing armor.<h5><b>Prerequisites: </b>Arcane Armor Training, Medium Armor Proficiency, caster level 7th.</h5><h5><b>Benefit: </b>As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 20% for any spells you cast this round. This bonus replaces, and does not stack with, the bonus granted by Arcane Armor Training.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
8,Arcane Armor Training,Combat,You have learned how to cast spells while wearing armor.,"Light Armor Proficiency, caster level 3rd.",Light Armor Proficiency,"As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 10% for any spells you cast this round.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Arcane Armor Training (Combat)</p><div style=""clear: both;""></div></div><div><h5>You have learned how to cast spells while wearing armor.<h5><b>Prerequisites: </b>Light Armor Proficiency, caster level 3rd.</h5><h5><b>Benefit: </b>As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 10% for any spells you cast this round.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
9,Arcane Strike,Combat,You draw upon your arcane power to enhance your weapons with magical energy.,Ability to cast arcane spells.,,"As a swift action, you can imbue your weapons with a fraction of your power. For 1 round, your weapons deal +1 damage and are treated as magic for the purpose of overcoming damage reduction. For every five caster levels you possess, this bonus increases by +1, to a maximum of +5 at 20th level.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Arcane Strike (Combat)</p><div style=""clear: both;""></div></div><div><h5>You draw upon your arcane power to enhance your weapons with magical energy.<h5><b>Prerequisites: </b>Ability to cast arcane spells.</h5><h5><b>Benefit: </b>As a swift action, you can imbue your weapons with a fraction of your power. For 1 round, your weapons deal +1 damage and are treated as magic for the purpose of overcoming damage reduction. For every five caster levels you possess, this bonus increases by +1, to a maximum of +5 at 20th level.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
10,Heavy Armor Proficiency,Combat,You are skilled at wearing heavy armor.,"Light Armor Proficiency, Medium Armor Proficiency.","Light Armor Proficiency, Medium Armor Proficiency","See Armor Proficiency, Light.","See Armor Proficiency, Light.",Fighters and paladins automatically have Heavy Armor Proficiency as a bonus feat. They need not select it.,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Armor Proficiency, Heavy (Combat)</p><div style=""clear: both;""></div></div><div><h5>You are skilled at wearing heavy armor.<h5><b>Prerequisites: </b>Light Armor Proficiency, Medium Armor Proficiency.</h5><h5><b>Benefit: </b>See Armor Proficiency, Light.</h5><h5><b>Normal: </b>See Armor Proficiency, Light.</h5><h5><b>Special: </b>Fighters and paladins automatically have Heavy Armor Proficiency as a bonus feat. They need not select it.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0,0,0
